Cutting Matrix — Lot 11028,,,,,,
Lot Number:,11028,Style:,Cross Hoodie,,,
15%-NAVY,7,24,48,24,24,120
BEIGE-NEW COFFEE,7,25,50,25,25,125
OFF WHITE-B.GREEN,7,24,48,24,24,120
CREAM-LIGHT GREEN,7,26,52,26,26,130
Total,,152,304,152,152,760
,,,,,,
,,,,,,
Cutting Matrix — Lot 11043,,,,,,
Lot Number:,11043,Style:,,,,
Fabric:,WONDER CHECK,Garment Type:,HIGH NECK,,,
Date of Issue:,2025-10-07,Supervisor:,Rohit,,,
,,,,,,
Color,Cutting Table,M,L,XL,2XL,Total Pcs
BLACK-FAWN,5,25,50,25,25,125
CREAM -GREY,5,25,50,25,25,125
FAWN-BLACK,5,25,50,25,25,125
GREEN-TAN,5,25,50,25,25,125
GREY-GREEN,5,25,50,25,25,125
TAN-CREAM,5,25,50,25,25,125
Total,,150,300,150,150,750
,,,,,,
Cutting Matrix — Lot 11051,,,,,,
Lot Number:,11051,Style:,CROSS HODDIE,,,
Fabric:,MH GERMAN  FLEECE,Garment Type:,SWEATSHIRT,,,
,,,,,,
Color,Cutting Table,M,L,XL,XXL,Total Pcs
OFF. WHITE,5,22,44,22,22,110
BLACK,5,24,48,24,24,120
LIGHT GREEN,5,24,48,24,24,120
B.GREEN,5,24,48,24,24,120
AIR FORCE,5,24,48,24,24,120
15%,5,23,46,23,23,115
Total,,141,282,141,141,705
,,,,,,
,,,,,,
Cutting Matrix — Lot 11052,,,,,,
Lot Number:,11052,Style:,,,,
Fabric:,KT-5077,Garment Type:,SHACKET,,,
,,,,,,
Color,Cutting Table,M,L,XL,XXL,Total Pcs
COFFEE,1,26,52,26,26,130
TAN,1,27,54,27,27,135
OFF. WHITE,1,25,50,25,25,125
BLACK,1,36,72,36,36,180
Total,,114,228,114,114,570
,,,,,,
,,,,,,
Cutting Matrix — Lot 64002,,,,,,
Lot Number:,64002,Style:,FULL ZIPPER (MONKEY HOOD),,,
Fabric:,MH GERMAN  FLEECE,Garment Type:,SWEATSHIRT,,,
,,,,,,
Color,Cutting Table,M,L,XL,XXL,Total Pcs
15%,11,14,14,14,14,56
BEIGE,11,15,15,15,15,60
BLACK,11,14,14,14,14,56
BOTTLE GREEN,11,15,15,15,15,60
D.COFFEE,11,15,15,15,15,60
D.GREEN,11,15,15,15,15,60
MAUVE,11,15,15,15,15,60
MEHNDI,11,14,14,14,14,56
NAVY,11,13,13,13,13,52
OLIVE,11,14,14,14,14,56
RED,0,0,0,0,0,0
RUST,11,14,14,14,14,56
SEA GREEN,11,15,15,15,15,60
Total,,173,173,173,173,692
,,,,,,
,,,,,,
Cutting Matrix — Lot 64003,,,,,,
Lot Number:,64003,Style:,SW HOODIE,,,
Fabric:,BONDED (SOUTH POLE),Garment Type:,SWEATSHIRT,,,
Date of Issue:,2025-09-29,Supervisor:,MONU,,,
Color,Cutting Table,M,L,XL,XXL,Total Pcs
FAWN (CHOCOLATE),4,12,12,12,12,48
SILVER (BLACK),4,12,12,12,12,48
OLIVE (BLACK),4,12,12,12,12,48
BLACK (MOUSE),4,12,12,12,12,48
CHOCOLATE (BLACK),4,12,12,12,12,48
-,-,,,,,0
Total,,60,60,60,60,240
,,,,,,
Cutting Matrix — Lot 64004,,,,,,
Lot Number:,64004,Style:,,,,
Fabric:,(SOUTH POLE),Garment Type:,SWEATSHIRT,,,
,,,,,,
Color,Cutting Table,L,XL,XXL,Total Pcs,
CHOCOLATE,1,14,28,14,56,
BOTTLE GREEN,1,13,26,13,52,
SILVER,1,15,30,15,60,
FAWN,1,11,22,11,44,
GREY,1,13,26,13,52,
Total,,66,132,66,264,
,,,,,,
,,,,,,
Cutting Matrix — Lot 73001,,,,,,
Lot Number:,73001,Style:,,,,
Fabric:,SUEDE,Garment Type:,JACKET,,,
,,,,,,
Color,Cutting Table,M,L,XL,2XL,Total Pcs
FAWN,9,40,40,20,20,120
COFFEE,9,40,40,20,20,120
TAN,9,40,40,20,20,120
DARK TAN,9,40,40,20,20,120
BLACK,9,40,40,20,20,120
Total,,200,200,100,100,600
,,,,,,
,,,,,,
Cutting Matrix — Lot 73002,,,,,,
Lot Number:,73002,Style:,,,,
Fabric:,SUEDE,Garment Type:,JACKET,,,
,,,,,,
Color,Cutting Table,M,L,XL,2XL,Total Pcs
FAWN,9,20,20,20,20,80
COFFEE,9,20,20,20,20,80
TAN,9,20,20,20,20,80
DARK TAN,9,20,20,20,20,80
BLACK,9,10,10,10,10,40
Total,,90,90,90,90,360
,,,,,,
,,,,,,
Cutting Matrix — Lot 73003,,,,,,
Lot Number:,73003,Style:,,,,
Fabric:,SUEDE,Garment Type:,JACKET,,,
,,,,,,
Color,Cutting Table,M,L,XL,XXL,Total Pcs
BLACK,9,40,40,20,20,120
OFFWHITE,9,40,40,20,20,120
TAN,9,40,40,20,20,120
D.TAN,9,40,40,20,20,120
COFFEE,9,40,40,20,20,120
Total,,200,200,100,100,600
,,,,,,
,,,,,,
Cutting Matrix — Lot 73004,,,,,,
Lot Number:,73004,Style:,,,,
Fabric:,PU LEATHER,Garment Type:,JACKET,,,
,,,,,,
Color,Cutting Table,S,M,L,XL,Total Pcs
BLACK,8,34,61,61,34,190
BROWN,8,10,20,20,10,60
Total,,44,81,81,44,250
,,,,,,
,,,,,,
Cutting Matrix — Lot 73005,,,,,,
Lot Number:,73005,Style:,WINDCHEATER,,,
Fabric:,Q20,Garment Type:,JACKET,,,
,,,,,,
Color,Cutting Table,M,L,XL,XXL,Total Pcs
KHAKHI,8,30,60,30,30,150
OLIVE,8,30,60,30,30,150
COFFEE,8,29,58,29,29,145
Total,,89,178,89,89,445
,,,,,,
,,,,,,
Cutting Matrix — Lot 73006,,,,,,
Lot Number:,73006,Style:,WINDCHEATER,,,
Fabric:,Q20,Garment Type:,JACKET,,,
,,,,,,
Color,Cutting Table,M,L,XL,XXL,Total Pcs
KHAKHI,8,30,60,30,30,150
OLIVE,8,30,60,30,30,150
COFFEE,8,28,56,28,28,140
Total,,88,176,88,88,440
,,,,,,
,,,,,,
Cutting Matrix — Lot 73007,,,,,,
Lot Number:,73007,Style:,WINDCHEATER,,,
Fabric:,PEAIR PRINT,Garment Type:,JACKET,,,
,,,,,,
Color,Cutting Table,M,L,XL,XXL,Total Pcs
D.GREY,8,32,64,32,32,160
COFFEE,8,32,64,32,32,160
SILVER,8,31,62,31,31,155
CAMEL,8,32,64,32,32,160
FAWN,8,32,64,32,32,160
Total,,159,318,159,159,795
,,,,,,
,,,,,,
Cutting Matrix — Lot 61001,,,,,,
Lot Number:,61001,Style:,WINDCHEATER,,,
Fabric:,Q20,Garment Type:,JACKET,,,
,,,,,,
Color,Cutting Table,M,L,XL,XXL,Total Pcs
KHAKHI,9,32,64,32,32,160
OLIVE,9,32,64,32,32,160
COFFEE,9,35,70,35,35,175
Total,,99,198,99,99,495
,,,,,,
,,,,,,
Cutting Matrix — Lot 61002,,,,,,
Lot Number:,61002,Style:,WINDCHEATER,,,
Fabric:,Q20,Garment Type:,JACKET,,,
,,,,,,
Color,Cutting Table,M,L,XL,XXL,Total Pcs
KHAKHI,8,25,50,25,25,125
OLIVE,8,25,50,25,25,125
COFFEE,8,26,52,26,26,130
Total,,76,152,76,76,380
,,,,,,
,,,,,,
Cutting Matrix — Lot 61003,,,,,,
Lot Number:,61003,Style:,,,,
Fabric:,HILISTER KT 6206,Garment Type:,LOWER,,,
,,,,,,
Color,Cutting Table,M,L,XL,XXL,Total Pcs
BLACK,5,30,30,15,15,90
CAMEL,5,30,30,15,15,90
OLIVE,5,30,30,15,15,90
Total,,90,90,45,45,270
,,,,,,
,,,,,,
Cutting Matrix — Lot 11036,,,,,,
Lot Number:,11036,Style:,,,,
Fabric:,MH GERMAN FLEECE,Garment Type:,TRACK SUIT,,,
Date of Issue:,2025-10-01,Supervisor:,Monu,,,
,,,,,,
Color,Cutting Table,M,L,XL,XXL,Total Pcs
15%,10,30,60,30,30,150
B.GREEN,10,30,60,30,30,150
NAVY,10,30,60,30,30,150
OFF.WHITE,10,30,60,30,30,150
RED,10,30,60,30,30,150
Total,,150,300,150,150,750
,,,,,,
Cutting Matrix — Lot 11037,,,,,,
Lot Number:,11037,Style:,,,,
Fabric:,MH GERMAN FLEECE,Garment Type:,TRACK SUIT,,,
Date of Issue:,2025-10-01,Supervisor:,Monu,,,
,,,,,,
Color,Cutting Table,M,L,XL,XXL,Total Pcs
15%,10,30,60,30,30,150
B.GREEN,10,30,60,30,30,150
NAVY,10,30,60,30,30,150
OFF.WHITE,10,30,60,30,30,150
RED,10,30,60,30,30,150
Total,,150,300,150,150,750
,,,,,,
Cutting Matrix — Lot 11038,,,,,,
Lot Number:,11038,Style:,SW R/N,,,
Fabric:,MH GERMAN FLEECE,Garment Type:,SWEATSHIRT,,,
,,,,,,
Color,Cutting Table,M,L,XL,2XL,Total Pcs
NAVY -OFF WHITE,4,25,50,25,25,125
15%-NAVY,4,25,50,25,25,125
RED-NAVY,4,24,48,24,24,120
OFF.WHITE-NAVY,4,25,50,25,25,125
D.COFFEE-BEIGE,4,30,60,30,30,150
Total,,129,258,129,129,645
,,,,,,
,,,,,,
Cutting Matrix — Lot 11040,,,,,,
Lot Number:,11040,Style:,SW R/N,,,
Fabric:,MH GERMAN FLEECE,Garment Type:,SWEATSHIRT,,,
,,,,,,
Color,Cutting Table,M,L,XL,2XL,Total Pcs
15%-WHITE,1,25,50,25,25,125
LIGHT COFFEE-BLACK,1,27,54,27,27,135
BLACK-LIGHT COFFEE,1,25,50,25,25,125
BLACK-LIGHT OLIVE,1,25,50,25,25,125
MOOV-WHITE,1,25,50,25,25,125
AIRFORCE-WHITE,1,25,50,25,25,125
OFF WHITE-R.GREEN,1,24,48,24,24,120
CREAM-LIGHT COFFEE,1,21,42,21,21,105
Total,,197,394,197,197,985
,,,,,,
,,,,,,
Cutting Matrix — Lot 11042,,,,,,
Lot Number:,11042,Style:,,,,
Fabric:,FANCY CLOTH DIOR,Garment Type:,HIGH NECK ,,,
,,,,,,
Color,Cutting Table,M,L,XL,2XL,Total Pcs
COFFEE,1,24,48,24,24,120
BLACK,1,24,48,24,24,120
FAWN,1,24,48,24,24,120
Total,,72,144,72,72,360
